 ,English,Swedish,French,Italian,German,Spanish,Russian,Romanian,Bulgarian,Macedonian,Finnish,Danish,Icelandic,Turkish,Lithuanian,Czech,Hungarian,Polish,Dutch,Portuguese_European,Portuguese_Brazilian,Chinese,Japanese,Korean
lore_meadows_random03,"Give thanks to Frey for the rain and sun

For the shoots that break the earth's skin

And the fruits of the vine

Give thanks to Odin for the flesh and bone

The smoke from the cooking fire, the warm pelt

And the strength of your arm
",,"Gloire à Frey pour la pluie et le soleil

Pour les plantes perçant l'écorce de la terre

Et les fruits sur la branche

Loué soit Odin pour la chair et les os

La fumée du feu, le cuir qui réchauffe

Et la force de votre bras",,"Danke Freya für Regen und Sonne

Für alle Sprosse, die den Erdboden durchbrechen

Und für die Rebenfrüchte

Danke Odin für Fleisch und Knochen

Und für die Wärme von Feuer und Pelz

Als auch für die Stärke deines Arms","Dale las gracias a Freya por la lluvia y el sol

Por los brotes que desgarran la piel de la tierra

Y las frutas del vino

Dale las gracias a Odín por la carne y los huesos

Por el humo de los fogones, el pelaje cálido

Y la fuerza de tus brazos","Поблагодарите Фрею за дождь и солнце,

За ростки, прорывающиеся сквозь землю,

И за плоды виноградной лозы.

Поблагодарите Одина за плоть и кости,

Дым от костра, теплую шкуру

И силу рук ваших.",,,,,,,"Yağmur ve güneş için Frey'e şükret

Topraktan fışkıran filizler

Ve asmadaki meyveler için dua et

Et ve kemik için Odin'e şükret

Tencereyi kaynatan, içini ısıtan ateş

Ve kollarına bahşedilen güç için dua et",,,,"Złóż podziękowania Frei za deszcz i słońce

Za pędy, które wyrastają z ziemi

I owoce winorośli

Podziękuj Odynowi za mięso i kości

Dym z palącego się ogniska, ciepłe futro

I siłę twojego ramienia","Geef dank aan Frey voor de regen en de zon.

Voor de scheuten die de aarde ontspruiten

En het fruit op de takken

Geef dank aan Odin voor vlees en bloed

Voor de rook van het kookvuur, de warme pels

En de kracht in je arm",,"Agradeça a Frey pela chuva e pelo sol

Pelos brotos que rompem a terra

E pelos frutos da videira

Agradeça a Odin pela carne e pelos ossos

Pelo calor do forno e da pele quente

E pela força em seus braços","感恩弗雷带来的雨滴和阳光

冲破地面的嫩芽

和藤蔓上的果实

感恩奥丁赐予的血肉之躯

炊烟袅袅，暖暖皮袍

还有你强壮的臂膀","雨と晴れにはフレイに感謝を

地の皮を突き抜ける若枝に

蔓に実る果実に

肉と骨にはオーディンに感謝を

竈の煙と温かい毛皮

そして汝の腕力",
lore_meadows_random04,"Hold, traveller, and bear witness to my warning. We are many who have come before you, carried here by Odin's will to do his work. The path ahead is hard and the dangers great. If you hold your life dear, keep to these meadows and make your dwelling away from the trees. Fear the Horned One and spare his kin.",,"Halte, voyageur, et écoutez ma mise en garde. Nous sommes nombreux à être venus ici avant vous, guidés ici par Odin pour accomplir sa volonté. Le chemin qui vous attend est difficile et dangereux. Si vous tenez à vivre, restez dans ces champs et restez loin des arbres. Craignez le Cornu et épargnez les siens.",,"Halt, Reisender, höre meine Warnung. Du bist nicht der erste, der hier erschien. Viele sind dem Ruf Odins gefolgt. Doch der Weg, der vor dir liegt, ist hart und gefährlich. Wenn dir etwas an deinem Leben liegt, dann solltest du deine Behausung in diesen Auen, weit weg von den Bäumen errichten … Hüte dich vor dem Gehörnten und verschone die Seinen.","Detente, caminante, y sé testigo de mis advertencias. Somos muchos los que hemos pasado por aquí antes que tú, impulsados por el deseo de Odín de que hiciéramos su trabajo. El camino que te espera es arduo y tortuoso, al igual que los peligros que entraña. Si le tienes apego a la vida, haz de estas praderas tu morada y aléjate de los árboles. Teme al Astado y perdónales la vida a los suyos.","Постой, путник, и внемли моему предупреждению. Многие из нас пришли сюда раньше по воле Одина, дабы исполнить его приказ. Путь впереди труден, а опасности велики. Если дорожишь своей жизнью, ступай по этим лугам и держись подальше от деревьев. Остерегайся Рогатого и пощади его сородичей.",,,,,,,"Dur ve uyarıma kulak ver yolcu. Senden önce pek çoğumuz, Odin'in emriyle verdiği vazifeyi yerine getirmek üzere buraya getirildik. Önünde uzanan yol zorlu ve büyük tehlikelerle dolu. Canına kıymet veriyorsan, bu çayırlardan uzaklaşma ve yuvanı ağaçlardan uzakta bir yere kur. Boynuzlu'dan kork ve onun gibilerden sakın.",,,,"Strzeż się, podróżniku, i daj świadectwo mojemu ostrzeżeniu. Wielu z nas przybyło przed tobą, by na rozkaz Odyna wypełnić jego wolę. Droga przed nami jest trudna, a niebezpieczeństwa czają się na każdym kroku. Jeśli życie ci miłe, trzymaj się tych łąk i szukaj schronienia z dala od drzew. Lękaj się Rogatego i oszczędź jego ród.","Wacht, reiziger, en luister naar mijn waarschuwing. Velen zijn je voorgegaan, hier gebracht door Odins wil om voor hem te arbeiden. Het pad voor je is zwaar en vol gevaren. Als je leven je lief is, blijf dan in deze weiden en bouw je verblijf ver van de bomen. Vrees de Gehoornde en spaar zijn verwanten.",,"Pare, viajante, e ouça o meu alerta. Fomos muitos os que viemos antes de você, aqui trazidos pela vontade de Odin. O caminho à frente é árduo e os perigos imponentes. Se você tem amor à preciosa vida, não se afaste destes prados e faça sua morada longe das árvores. Tema o Chifrudo e poupe a prole dele.","等等旅行者，请耐心听完我的提醒。 我们是在你之前来到这片土地上的，奥丁把我们带到了这里完成他的使命，你未来的道路艰难并危机重重。 如果你想远离危险，请留在青青草原并在远离树林的地方修建居所。 

要对有犄角的保持敬畏并放过它的血脉。 ",旅人よ、待て。 忠告に耳を傾けよ。 我らは汝の前に、オーディンによってその仕事をするために送り込まれた多くの者。 行く手の道は険しく、危険は大きい。 命を大事と思うなら、草原から離れず、家は木々より遠くに建てよ。 角あるものを恐れ、その一族を殺すべからず。 ,
lore_meadows_random05,"Heed these words of Ulf, a poor settler in a strange land. You will find here good stone and wood, all you need to build a house. You will need to craft a roof to keep out the rain. Then you will need walls to stop the roof from falling down. Finally, you must have a door or it will be much harder to go in and out.

These things Ulf has learned for himself. Now he writes them on this stone to help others. Pray to Odin for his soul.",,"Entendez la parole d'Ulf, un simple hère dans ce lieu étrange. Ici, vous trouverez de la pierre et du bois, tout ce qu'il faut pour construire une maison. Vous devrez bâtir un toit pour vous protéger de la pluie. Puis il vous faudra des murs pour éviter que le toit ne s'écroule. Enfin, il vous faudra une porte, ou vous aurez du mal à entrer et sortir.

Ulf a appris cela par lui-même. À présent, il écrit ces conseils sur cette pierre pour aider les autres. Qu'Odin ait pitié de lui.",,"Höre diese Worte von Ulf, einem armen Siedler in einem fremden Land. Du wirst hier gute Steine und gutes Holz finden, also alles, womit du ein Haus bauen kannst. Fertige ein Dach an, das dich vor dem Regen schützt. Errichte danach Mauen, um zu verhindern, dass dein Dach zu Boden fällt. Am Ende, fertige eine Tür, damit du hinein- und hinausgelangst.

Diese Dinge hat Ulf gelernt. Jetzt hält er sie auf diesem Stein fest, um anderen zu helfen. Bete für seine Seele zu Odin.","Atiende a las palabras de Ulf, un pobre habitante de unas tierras desconocidas. Aquí encontrarás piedras y madera de calidad: todo lo que necesitas para construir una casa. También te hará falta un tejado para protegerte de la lluvia y paredes para que el tejado no se derrumbe. Por último, necesitarás una puerta, o entrar y salir será una tarea un tanto complicada.

Ulf ha aprendido todo eso por su cuenta y ahora lo escribe en esta piedra para ayudar a los demás. Que Odín se apiade de su alma.","Прислушайтесь к словам Ульфа, бедного поселенца чужого края. Здесь вы найдете хороший камень и дерево — все, что нужно для постройки дома. Вам нужна будет крыша, чтобы укрыться от дождя. Для этого вам понадобятся стены, чтобы крыша не упала. Наконец, у вас должна быть дверь, иначе будет намного труднее входить и выходить.

Эти вещи Ульф узнал сам. Теперь он пишет их на этом камне, чтобы помочь другим. Помолитесь Одину за его душу.",,,,,,,"Bu yaban topraklara göçen zavallı Ulf'un sözlerine kulak kabart. Burada evini inşa etmek için en iyisinden taş ve odun bulacaksın. Yağmuru uzak tutmak için bir çatı ve bu çatının çökmesini engellemek için duvar yapman gerekecek. Son olarak da bir kapın olmalı ki içeri kolayca girip çıkabilesin.

Ulf bu şeyleri kendi başına öğrendi. Şimdi de başkalarına yardımcı olmak için bu taşa yazıyor. Ruhu için Odin'e dua et.",,,,"Posłuchaj słów Ulfa, biednego osadnika w obcej krainie. Znajdziesz tu solidne kamienie i drewno – wszystko, czego potrzebujesz do budowy domu. Twoim zadaniem będzie utworzenie dachu, by chronić domostwo przed deszczem. Następnie musisz postawić ściany, by dach nie spadł. Wreszcie zbuduj drzwi, bez których wchodzenie i wychodzenie będzie znacznie trudniejsze.

Tych rzeczy Ulf sam się nauczył. Teraz wyrył je na tym kamieniu, by pomóc innym. Módlcie się do Odyna o jego duszę.","Neem de woorden in acht van Ulf, een arme kolonist in een vreemd land. Je zult hier goede stenen en hout vinden, alles wat je nodig hebt om een huis te bouwen. Je zult een dak moeten bouwen om de regen buiten te houden. Daarna zul je muren nodig hebben om te zorgen dat het dak niet valt. Uiteindelijk zul je een deur moeten hebben, anders zal naar binnen en naar buiten gaan een stuk lastiger worden.

Dit heeft Ulf zelf geleerd. Nu schrijft hij het op deze steen om anderen te helpen. Bid tot Odin voor zijn ziel.",,"Atenção a estas palavras de Ulf, um pobre colono em uma terra estranha. Aqui você encontrará pedras e madeira de qualidade, tudo de que precisa para construir uma casa. Fabrique um telhado para se proteger da chuva. Depois, erga paredes para evitar que o telhado caia. Por fim, uma porta se fará necessária, ou entrar e sair será uma coisa penosa.

Essas coisas Ulf aprendeu por conta própria, conhecimento que ele agora escreve nesta pedra para ajudar os outros. Ore a Odin por sua alma.","听从乌尔夫的建议，一个在这片土地上生存过的定居者。 你会找到良好的石头和木材，这是你修建一间房子的所有必需品。 你需要建造屋顶来遮风挡雨。 然后你需要建造木墙来支撑屋顶。 最后，你需要一扇门来放置别人轻易进出你的房子。 


这是乌尔夫自己领悟到的，他把这些信息刻在了石碑上以帮助他人。 为奥丁的灵魂祈祷。 ","異国の地のあわれな居住者ウルフの言葉に留意せよ。 ここでは良き石と木が手に入る。 家を建てればよいだけだ。 雨を避ける屋根を作れ。 屋根が崩れぬよう、壁を作れ。 最後にドアを作るのだ。 ないと出入りに苦労する。 

ウルフはこれらを独学で身につけた。 他の者たちの助けになるよう、この石に書いておく。 ウルフの魂のため、オーディンに祈りを。 ",
lore_meadows_random06,"I was Astrid, a shieldmaiden of the forest. I know nothing of my life before I came here but my arm remembers the sword and my eyes see the course of the arrow. Now the raven guides me and I fight the great beasts in Odin's name.",,"J'étais Astrid, une guerrière de la forêt. Je ne sais rien de ma vie avant d'arriver ici, mais mon bras se rappelle mon épée, et mes yeux connaissent la trajectoire de la flèche. À présent, le corbeau me guide et j'affronte de féroces bêtes au nom d'Odin.",,"Ich war einst Astrid, Schildmaid des Waldes. Ich weiß nichts mehr über mein Leben, bevor ich hier erwachte … doch mein Arm erinnert sich des Schwertes und meine Augen erkennen den Flug von Pfeilen. Und nun leiten mich die Raben. Heute kämpfe ich in Odins Namen gegen Biester und Bestien.","Yo era Astrid, una doncella escudera del bosque. No sé cómo era mi vida antes de llegar aquí, pero estos brazos recuerdan la espada y estos ojos ven la trayectoria de las flechas. Ahora el cuervo me guía y lucho contra las bestias en nombre de Odín.","Меня звали Астрид, защитница леса. Я ничего не знаю о своей жизни до того, как попала сюда, но моя рука помнит меч, а мои глаза видят направление стрел. Теперь меня ведет ворон, и я сражаюсь с великими чудищами во имя Одина.",,,,,,,Ben ormanın kalkanlı kızlarından Astrid. Buraya gelmeden önceki hayatım hakkında hiçbir şey bilmesem de kolum kılıcı ve gözlerim ise okun çizdiği yolu hatırlıyor. Bana artık kuzgun rehberlik ediyor ve Odin'in şanı uğruna koca canavarlarla savaşıyorum.,,,,"Byłam kiedyś Astrid, strażniczką lasu. Nie pamiętam nic o swoim życiu, zanim tu przybyłam, lecz moje ramię pamięta miecz, a oczy śledzą ruch strzały. Teraz prowadzi mnie kruk, a ja w imię Odyna walczę z ogromnymi bestiami.","Ik was Astrid, een schildmaagd van het bos. Van mijn leven voor ik hier kwam weet ik niets, maar mijn arm herinnert zich mijn zwaard, en mijn ogen kunnen een pijl volgen in vlucht. Nu leidt de raaf me en vecht ik tegen grote beesten in Odins naam.",,"Eu era Astrid, uma escudeira da floresta. Não sei nada da minha vida antes de chegar aqui, mas meu braço recorda-se da espada e meus olhos enxergam o caminho das flechas. Agora sigo o corvo e luto contra as terríveis feras em nome de Odin.",我曾是阿斯特丽德，一名护林女。 我不记得我来这里前的生活，但是我的手臂记得怎么用剑，我的眼睛能看见箭的轨迹。 现在那只乌鸦是我的向导，而我，为了奥丁而战。 ,私はアストリッド、森の楯の乙女であった。 ここに来る前のことは何も知らないが、この腕が剣を、目が矢の軌跡を覚えていた。 今は鴉に導かれ、オーディンの名において、大きな獣たちと戦っている。 ,
lore_meadows_boartaming,"This land is hard and wild but we who are brought here are harder still. Take comfort, traveller, in the gifts before you, the good wood and stone, the fruits and flowers of the forest.

Look also to the wild boar who roam these lands. They fear fire and the hand of man but they can be taught to obey it. Go quietly to them and let them eat of your stock. Roots of the ground are their pleasure.",,"Ce lieu est sauvage et impitoyable, mais ceux qui sont amenés ici sont encore pires. Réjouissez-vous, voyageur, des dons qui se trouvent devant vous : le bois et la pierre, les fruits et les fleurs de la forêt.

Cherchez aussi le sanglier qui rôde en ces lieux. Il craint le feu et la main de l'homme, mais il peut aussi apprendre à lui obéir. Approchez-le en douceur et laissez-le se servir dans vos stocks. Les racines sont leur péché mignon.",,"Dieses Land ist wild und ungestüm. Doch wir alle sind noch viel wilder. Erfreue dich an den Geschenken, die du vor dir siehst, Reisender: des guten Holzes und Steins; und auch der Früchte und Blumen des Waldes.

Und besieh dir auch die Wildschweine, die diese Länder durchstreifen. Sie fürchten das Feuer und die Hand der Menschen. Doch du kannst sie fangen und zähmen. Nähere dich ihnen und biete ihnen Futter an. Sie werden den Wurzeln des Bodens nicht widerstehen können.","Estas tierras son salvajes y despiadadas, pero más aún lo son todos los que llegan aquí. Caminante, consuélate con los regalos que se presentan ante ti: la madera y la piedra, las frutas y las flores del bosque.

No pierdas de vista a los jabalíes que vagan por estas tierras pues, a pesar de temerle al fuego y al hombre, son animales que se pueden domesticar. Acércate a ellos y ofréceles algo de comida. Lo que más les agrada son las raíces.","Эта земля тверда и дика, но нам, попавшим сюда, еще труднее. Странник, найди утешение в дарах перед тобой: в добром древе и камне, в лесных плодах и цветах.

Взгляни также на кабанов, которые бродят по этим землям. Они боятся огня и человека, но их можно приручить. Тихо подойди и подкорми их. Они любят есть коренья.",,,,,,,"Bu topraklar amansız ve vahşi ama buraya getirilen bizler daha da amansızız. Sana sunulan armağanlardan teselli bul yolcu. Kaliteli odun ve taştan, ormanın meyve ve çiçeklerinden...

Ayrıca bu diyarı mesken tutmuş yaban domuzlarına karşı gözün açık olsun. Ateşten ve insan elinden korksalar da onlara o ele itaat etmek de öğretilebilir. Onlara sessizce yaklaş ve stoğundan yemelerine izin ver. Topraktan çıkan köklere bayılırlar.",,,,"Ta kraina jest twarda i dzika, lecz nas osadników jeszcze trudniej pokonać. Podróżniku, niech cię pocieszą dary, które widzisz przed sobą – solidne drewno, kamienie, leśne owoce i kwiaty.

Uważaj też na przemierzające te ziemie dziki. Obawiają się ognia i ludzkiego dotyku, ale można je oswoić. Podejdź do nich po cichu i poczęstuj je swoimi zapasami. Korzenie ziemi to ich ulubiona przekąska.","Dit land is hard en wild, maar wie hierheen is gebracht, is nog harder. Laat je geruststellen door de gaven voor je, reiziger, het goede hout en steen, het fruit en de bloemen van het bos.

Zoek ook naar de wilde zwijnen die dit land hun thuis noemen. Ze vrezen vuur en de mensenhand, maar kunnen leren gehoorzamen. Ga kalm op ze af en deel je voedsel met ze. Wortels uit de grond zijn een genot voor hen.",,"Esta terra é dura e agreste, mas nós que aqui estamos somos mais. Há conforto, viajante, nos presentes que aqui estão: boas madeiras e pedras, os frutos e as flores da floresta.

Veja também os javalis que vagam por estas terras. Eles temem o fogo e a mão do homem, mas podem aprender a obedecê-los. Aproxime-se deles em silêncio e alimente-os do seu estoque. Raízes da terra, eis o que eles amam.","这片土地艰难而崎岖，而我们比这片土地更加顽强。 大自然的馈赠照顾好你自己，旅行者，例如良好的石头和木材，还有森林里的果实和鲜花。 

寻找游荡在各处的鬓猪。 它们怕火和拳头但是你也可以用此驯服它们。 
悄悄的接近它们并投喂你吃剩的食物。 它们最喜欢的是根茎类蔬果。 ","この地は荒れ果て、過酷である。 しかしここにもたらされた者たちは不屈だ。 旅人よ、楽にせよ。 そこにあるのは贈り物、森の良い木と石、果物と花だ。 

また、この地を歩く野生の猪を見よ。 彼らは火と人間の手を恐れるが、服従を教えることができる。 静かに近づき、食べ物を与えよ。 植物の根が好物だ。 ",
lore_blackforest_random01,"Beware the deep trees, beware the true dark. When the night comes, keep close to your fire.",,"Attention aux profondeurs de la forêt, prenez garde à la véritable obscurité. Quand la nuit tombe, restez près du feu.",,"Hüte dich vor den tiefen Bäumen und meide die wahre Dunkelheit. Wenn die Nacht hereinbricht, so halte dich nahe beim Feuer auf.",Cuidado con el espesor de los bosques y con la oscuridad profunda. Quédate junto al fuego cuando caiga la noche.,"Остерегайтесь лесных чащ, берегитесь истинной тьмы. Когда наступит ночь, держитесь поближе к огню.",,,,,,,"Derindeki ağaçlara, zifirî karanlığa dikkat et. Gece çöktüğünde, ateşine yakın dur.",,,,"Strzeż się ukrytych w głębi drzew, strzeż się prawdziwej ciemności. Kiedy nadejdzie noc, trzymaj się blisko ognia.","Pas op de diepe bomen, pas op het ware duister. Blijf dicht bij je vuur als de nacht valt.",,"Cuidado com as árvores profundas, cuidado com a verdadeira escuridão. Quando cair a noite, não se afaste do fogo.",小心密林深处，小心正真的黑暗。 当夜晚来临，你需要让自己靠近火焰。 ,深い森と真の闇に気をつけよ。 夜が来たら火のそばを離れるな。 ,
lore_blackforest_random02,"Beneath the ground, the roots of the forest twine together on a great loom. Pluck one thread and the whole weave will move. Chop down one tree and all the wood will know. Make yourself known to the One Who Walks, and he will seek you out.",,"Sous le sol, les racines de la forêt s'entrelacent et forment un grand écheveau. Tirez un de ces fils et la toile tout entière bougera. Abattez un arbre et tout le bois le saura. Attirez l'attention de Celui qui Marche, et il viendra à vous.",,"Unter der Erde verflechten sich die Wurzeln des Waldes zu einem großen Webstuhl. Wenn du an einem Faden ziehst, wird sich das ganze Gewebe bewegen. Bringe einen Baum zu Fall und der ganze Wald wird es wissen. Erringe die Aufmerksamkeit des Wandelnden und er wird dich aufsuchen.","Bajo la tierra, las raíces del bosque se entrelazan tejiendo un gran telar. Si tiras de uno de sus hilos, se moverá el tejido entero. Si talas un árbol, el bosque lo sabrá. Si llamas la atención del Errante... irá en tu búsqueda.","Под землей корни леса сплетаются в большое полотно. Вырвешь одну нить, и все переплетение нарушится. Срубишь одно дерево, и весь лес об этом узнает. Выдашь себя ненароком Ступающему, и он найдет тебя.",,,,,,,"Ormanın kökleri, zeminin altındaki büyük dokuma tezgâhında birbirlerine düğümlenirler. Bir ipliği bile koparırsan tüm kumaş harekete geçer. Bir ağacı bile kesersen tüm orman bundan haberdar olur. Adını Yürüyen'e duyurursan seni arayıp bulur.",,,,"Pod ziemią korzenie lasu splatają się na wielkim krośnie. Zerwij jedną nić, a cały splot się poruszy. Zetnij jedno drzewo, a całe drewno się dowie. Daj się poznać Chodzącemu, a on cię odszuka.","Onder de grond vlechten de wortels van het bos zich samen tot één groot spinnenweb. Pluk een enkele draad en het hele web beweegt. Hak een enkele boom om, en het hele bos zal het weten. Maak je bekend aan Hij Die Loopt, en hij zal je opzoeken.",,"Sob o solo, as raízes da floresta entrelaçam-se em um grande tear. Puxe um fio e toda a trama vai se mover. Derrube uma árvore e todo o bosque vai saber. Faça-se saber a Aquele que Anda, e ele virá atrás de você.",森林里的树根在地底下紧紧的缠绕在一起。 拔出其中一根，所有的根茎都会移动。 砍掉一棵树，所有的树都会知道。 让那颗会走的树知道你，他便会开始寻找你的踪迹。 ,地面の下では森の木々の根が絡まり合い、大きな塊となっている。 一本を引き抜くと全体が動く。 一本の木を切り倒すとすべての森が知る。 歩く者に汝の存在を知らせよ。 そうすれば彼が汝を探し出す。 ,
lore_blackforest_random03,"I was Harald, a man from the coast. I remember nothing more of my life in Midgard except that I was a warrior. In my dreams I see the faces of those I killed. I leave this stone that at least my name will remain.",,"Je suis Harald, un homme de la côte. Je ne me souviens de rien d'autre de ma vie sur Midgard, si ce n'est que j'étais un guerrier. Quand je rêve, je revois le visage de ceux que j'ai tués. Je laisse au moins cette pierre, que mon nom subsiste.",,"Ich war einst Harald, ein Mann von der Küste. Doch ich habe keine Erinnerungen an mein vergangenes Leben in Midgard. Ich weiß nur, dass ich ein Krieger war. In meinen Träumen sehe ich die Gesichter all jener, die ich getötet habe. Ich hinterlasse diesen Stein, damit zumindest mein Name die Jahrhunderte überdauern möge.","Yo era Harald, un hombre de la costa. Lo único que recuerdo de mi vida en Midgar es que era un guerrero. Veo en sueños las caras de la gente a la que asesiné. Dejo esta piedra para que, al menos, perdure mi nombre.","Меня звали Харальдом, человеком с побережья. Больше я ничего не помню из своей жизни в Мидгарде, кроме того, что я был воином. Во сне я вижу лица убитых мною. Я оставляю этот камень, пусть хотя бы имя мое запомнят.",,,,,,,"Adım Harald, sahilden geldim. Eskiden savaşçı olduğum dışında Midgard'a dair hatırladığım bir şey yok. Rüyalarımda öldürdüklerimin yüzlerini görüyorum. Geride bu taşı bırakıyorum ki en azından adım yaşasın.",,,,"Byłem kiedyś Haraldem, człowiekiem z wybrzeża. Nie pamiętam nic więcej z mojego życia w Midgardzie poza tym, że byłem wojownikiem. W moich snach widzę twarze swoich ofiar. Zostawiam ten kamień, by chociaż moje imię nie poszło w zapomnienie.","Ik was Harald, een man van de kust. Ik weet niets meer van mijn leven in Midgard, behalve dat ik een krijger was. In mijn dromen zie ik de gezichten van de mensen die ik om heb gebracht. Ik laat deze steen achter zodat mijn naam in ieder geval niet vergeten wordt.",,"Eu era Harald, um homem do litoral. Pouco lembro da minha vida em Midgard, exceto que fui um guerreiro. Em meus sonhos, vejo os rostos dos homens que matei. Deixo aqui esta pedra, para que ao menos o meu nome permaneça.",我曾是哈拉尔德，一个来自海岸的男人。 我不记得除了我在人界曾是一名战士以外的任何事。 被我击杀过的面孔时常出现在我的梦魇里。 我留下这块石碑，这样至少有人会记得我的名字。 ,私はかつて、海岸に住むハーラルであった。 ミズガルズでの暮らしは、戦士であったことしか覚えていない。 夢の中で、殺した者たちの顔を見る。 せめて我が名が忘れ去られぬよう、この石を残す。 ,
lore_blackforest_random04,"Rest awhile and remember Ulf, who carved this stone with his own hand but could think of nothing to say.",,"Reposez-vous et rappelez-vous d'Ulf, qui a gravé cette pierre de sa main, mais qui ne savait pas quoi y écrire.",,"Raste eine Weile und gedenke Ulf, der diesen Stein mit seinen eigenen Händen bearbeitete … Der allerdings keine Worte fand, um sie zu hinterlassen.","Tómate un descanso y piensa en Ulf, que esculpió esta piedra con su propia mano, pero no se le ocurrió qué escribir.","Отдохните немного и вспомните Ульфа, который собственноручно вырезал этот камень, но не смог придумать, что сказать.",,,,,,,Biraz soluklan ve kendi elleriyle bu taşı yontmuş ancak söyleyecek bir şey bulamamış Ulf'u hatırla.,,,,"Odpocznij chwilę i przypomnij sobie Ulfa, który własnoręcznie wyrył ten kamień, lecz nie miał nic do powiedzenia.","Rust hier en gedenk Ulf, die met eigen hand in deze steen heeft gekerfd, maar niets kon verzinnen om te vertellen.",,"Descanse um pouco e lembre-se de Ulf, que esculpiu essa pedra com as próprias mãos, mas não conseguiu pensar em nada para dizer.",休息一下，并想想乌尔夫吧，他的双手雕刻了这块石碑却无话可说。 ,しばし休み、ウルフを思い出せ。 自分の手でこの石を彫ったが言うべきことを何も思いつかなかった者のことを。 ,
lore_blackforest_random05,Beware the Old One. The ravens say that in ages past he was a shoot of great Yggdrasil itself and a force of wisdom in the days when men and trees were friends. Now he scorns the axe and sets himself against the works of the Gods themselves. Odin banished him here for his pride but his roots are deep.,,"Prenez garde à l'Ancien. Les corbeaux racontent qu'autrefois, il était une pousse du grand Yggdrasil lui-même, et qu'il était une source de sagesse à l'époque où les hommes et les arbres étaient amis. À présent, il méprise la hache et s'oppose à l'œuvre des dieux en personne. Odin l'a banni ici pour le punir de son orgueil, mais ses racines s'enfoncent profondément dans la terre.",,"Hüte dich vor dem Alten. Die Raben sagen, dass er einst ein Spross von Yggdrasil selbst und die personifizierte Weisheit gewesen sein soll - in einer Zeit, in der Mensch und Baum noch Freude waren. Heute verachtet er die Axt und wendet sich gegen alles Wirken der Götter. Für seinen Stolz wurde er von Odin verbannt. Doch seine Wurzeln reichen tief.","Cuidado con el Longevo. Los cuervos dicen que hace eones era un brote de Yggdrasil, además de una fuente de sabiduría en la época en la que los hombres y los árboles eran amigos. Ahora se burla del hacha y se enfrenta a las creaciones de los mismísimos dioses. Odín lo exilió, pero tanto su orgullo como sus raíces no tienen fin.","Берегитесь Древнего. Вороны говорят, что в прошлом он был порождением великого Иггдрасиля и обладал мудростью в дни дружбы людей и деревьев. Позже он презрел топор и восстал против самих богов. Один изгнал его сюда за гордыню, но корни его крепки.",,,,,,,Ezelî Olan'a dikkat et. Kuzgunlar onun çağlar öncesinde yüce Yggdrasil'den filizlendiğini ve insanlarla ağaçların dost olduğu günlerde bilgelik dağıttığını söyler. Artık baltadan nefret ediyor ve Tanrıların eylemlerinin karşısında duruyor. Kibrinden dolayı Odin onu buraya sürdü ama kökleri hâlâ derin.,,,,"Strzeż się Prastarego. Kruki powiadają, że w minionych wiekach był on samym pędem wielkiego Yggdrasila – siłą mądrości w czasach, gdy ludzie i drzewa żyli ze sobą w zgodzie. Teraz gardzi siekierą i przeciwstawia się dziełom samych bogów. Odyn wygnał go tutaj przez jego dumę, lecz jego korzenie sięgają głęboko.","Pas op de Oude. Volgens de raven was hij in voorbije eeuwen een spruit van de grootse Yggdrasil zelve, en een wijze kracht in de dagen waarin mensen en bomen vrienden waren. Nu veracht hij de bijl en verzet hij zich tegen de werken van de goden zelve. Odin heeft hem hierheen verbannen om zijn trots, maar hij heeft diepe wortels.",,"Cuidado com o Longevo. Os corvos dizem que em tempos antigos ele foi um rebento da própria Yggdrasil, e uma força de sabedoria nos dias em que homens e árvores eram aliados. Agora ele despreza o machado e faz oposição às obras dos próprios deuses. Odin o exilou aqui por causa de seu orgulho, mas a verdade é que suas raízes são profundas.",小心老者。 乌鸦说很久以前，在人类和树木还是朋友的时候，他就是世界之树的新芽，也是一股强大的智慧之力。 现在他鄙夷斧子，让自己成为了众神之敌。 因为他的傲慢，他被奥丁放逐至此，但是他却在此深深扎根。 ,古き者に気をつけよ。 鴉たちによれば、その昔、彼は大いなるユグドラシルそのものの木の芽であり、人々と木々が友であった頃の知識の力であった。 今、彼は斧を嘲笑い、神々の創造物に敵対している。 オーディンはその自尊心のために彼を追放したが、その根は深い。 ,
